"usageclass","checkouttype","materialtype","checkoutyear","checkoutmonth","checkouts","title","creator","subjects","publisher","publicationyear"
"Physical","Horizon","SOUNDDISC","2019","12","1","A few of the girls : [stories] / Maeve Binchy.","Binchy, Maeve, 1940-2012,","Women Fiction, Short stories, Short stories, Audiobooks","Books on Tape ; Random House Audio,","[2016]"
"Digital","OverDrive","EBOOK","2019","12","1","The Anger Solution: The Proven Method for Achieving Calm and Developing Healthy, Long-Lasting Relationships","John Lee","Medical, Nonfiction, Self-Improvement","Hachette Digital, Inc.","2012"
"Digital","OverDrive","EBOOK","2019","12","1","Mothering the New Mother: Women's Feelings & Needs After Childbirth: A Support & Resource Guide","Sally Placksin","Children, Health & Fitness, Nonfiction, Psychology","Perseus Books Group","2009"
"Physical","Horizon","BOOK","2019","12","3","No one is coming to save us : a novel / Stephanie Powell Watts.","Watts, Stephanie Powell","African American families Fiction, North Carolina Fiction, Domestic fiction","Ecco, an imprint of HarperCollinsPublishers,","[2017]"
"Physical","Horizon","BOOK","2019","12","1","The good karma divorce : avoid litigation, turn negative emotions into positive actions, and get on with the rest of your life / Michele Lowrance.","Lowrance, Michele","Divorce, Divorce Popular works, Divorce mediation Popular works, Communication in divorce mediation","Harper One,","[2010]"
"Physical","Horizon","VIDEODISC","2019","12","1","From dusk till dawn. Season two / Miramax ; Factory Made Ventures ; Rodriguez International Pictures ; Sugarcane Entertainment.",,"Texas Rangers Drama, Vampires Drama, Fugitives from justice Drama, Brothers Drama, Crime Drama, Texas Drama, Mexico Drama, Television series, Fiction television programs, Horror television programs, Action and adventure television programs, Vampire television programs, Video recordings for the hearing impaired","Entertainment One Canada,","[2016]"
"Physical","Horizon","VIDEODISC","2019","12","1","The Sittaford mystery / a co-production of Granada and WGBH Boston in association with Agatha Christie LTD. (a Chorion company) ; screenplay, Stephen Churchett ; producer, Matthew Read ; director, Paul Unwin.",,"Marple Jane Fictitious character Drama, Detective and mystery television programs, Video recordings for the hearing impaired","Acorn Media,","[2006]"
"Physical","Horizon","BOOK","2019","12","1","The golden bride : the daughters of the Mayflower / Kimberley Woodhouse.","Woodhouse, Kimberley, 1973-","Man woman relationships Fiction, Widows United States Fiction, Mate selection Fiction, San Francisco Calif History 19th century Fiction, California History 1846 1850 Fiction, Historical fiction, Romance fiction, Christian fiction","Barbour Books, an imprint of Barbour Publishing, Inc.,","[2019]"
"Digital","OverDrive","EBOOK","2019","12","5","Les Miserables","Victor Hugo","Classic Literature, Fiction","Penguin Group (USA), Inc.","2013"
"Physical","Horizon","BOOK","2019","12","2","A sister's secret / Cydney Rax.","Rax, Cydney","African American women Fiction, Sisters Fiction, Secrecy Fiction, Domestic fiction","Dafina Books, Kensington Publishing Corp.,","[2018]"
