"usageclass","checkouttype","materialtype","checkoutyear","checkoutmonth","checkouts","title","creator","subjects","publisher","publicationyear"
"Digital","OverDrive","AUDIOBOOK","2019","12","2","The Teenage Brain (Enchanced): A Neuroscientist's Survival Guide to Raising Adolescents and Young Adults (unabridged) (Unabridged)","Frances E. Jensen","Nonfiction, Psychology","HarperCollins Publishers Inc.","2015"
"Physical","Horizon","BOOK","2019","12","3","Richard Scarry's Smokey the fireman.","Scarry, Richard","Fire fighters Juvenile fiction, Animals Juvenile fiction","Random House,","2015."
"Physical","Horizon","BOOK","2019","12","1","Vernon Subutex : roman. Tome 1 / Virginie Despentes.","Despentes, Virginie, 1969-","Music stores France Paris Fiction, Businessmen France Paris Fiction, Business failures France Paris Fiction, Homeless men France Paris Fiction, Musicians Death Fiction, Concert films Fiction, Harassment Fiction, Stalking Fiction","Grasset : Les Éditions Graset & Fasquelle : Librairie Générale Française,","janvier 2018."
"Physical","Horizon","BOOK","2019","12","1","The lost Gospel of Mary : the Mother of Jesus in three ancient texts / [compiled by] Frederica Mathewes-Green.",,"Mary Blessed Virgin Saint","Paraclete Press,","[2007]"
"Digital","OverDrive","EBOOK","2019","12","2","Be Mine Forever: Bennetts Series, Book 3","Kennedy Ryan","Fiction, Literature, Romance","Hachette Digital, Inc.","2015"
"Digital","OverDrive","EBOOK","2019","12","1","Pecked to Death by Ducks","Tim Cahill","Nonfiction, Travel","Random House, Inc.","2011"
"Digital","OverDrive","EBOOK","2019","12","3","Going Solo","Roald Dahl","Biography & Autobiography, History, Juvenile Nonfiction","Penguin Group (USA), Inc.","2014"
"Digital","OverDrive","EBOOK","2019","12","1","In His Keeping: A Slow Burn Novel","Maya Banks","Fiction, Romance, Suspense","HarperCollins Publishers Inc.","2015"
"Physical","Horizon","BOOK","2019","12","1","Careless at the carnival : Junior discovers spending / by Dave Ramsey ; illustrated by Marshall Ramsey.","Ramsey, Dave","Finance Personal Juvenile literature","Lampo Press,","[2003]"
"Digital","OverDrive","EBOOK","2019","12","1","Rudolph, The Red-Nosed Reindeer: Plus ""Rudolph Shines Again""","Robert L. May","Juvenile Fiction","Blackstone Audio, Inc.","2012"
"Digital","OverDrive","EBOOK","2019","12","1","A Newport Christmas Wedding: A Novella","Shelley Noble","Fiction, Literature, Romance","HarperCollins Publishers Inc.","2014"
"Physical","Horizon","BOOK","2019","12","5","Rosewater / Tade Thompson.","Thompson, Tade","Human alien encounters Fiction, Extraterrestrial beings Fiction, Science fiction","Orbit, an imprint of Hachette Book Group,","2018."
"Physical","Horizon","SOUNDDISC","2019","12","1","Time's up! / Buzzcocks.","Buzzcocks (Musical group)","Rock music 1971 1980, New wave music, Rock music, New wave music","Domino Recording Co.,","[2017]"
"Digital","OverDrive","EBOOK","2019","12","5","Flat Stanley and the Very Big Cookie: I Can Read Level 2","Jeff Brown","Juvenile Fiction, Juvenile Literature","HarperCollins Publishers Inc.","2015"
"Digital","OverDrive","EBOOK","2019","12","2","The Lonesome Gods: An Epic Novel of the California Desert","Louis L'Amour","Fiction, Historical Fiction, Thriller, Western","Random House, Inc.","2013"
"Physical","Horizon","BOOK","2019","12","2","See me / Nicholas Sparks.","Sparks, Nicholas","Man woman relationships Fiction, North Carolina Fiction, Love stories","Grand Central Publishing,","2015"
"Physical","Horizon","BOOK","2019","12","1","Hons and rebels / Jessica Mitford ; introduction by Christopher Hitchens.","Mitford, Jessica, 1917-1996","Mitford Jessica 1917 1996, Mitford Jessica 1917 1996 Childhood and youth, England Biography, England Social life and customs 20th century","New York Review Books,","[2004]"
"Digital","OverDrive","EBOOK","2019","12","2","The Poky Little Puppy Step into Reading","Kristen L. Depken","Beginning Reader, Juvenile Fiction","Random House, Inc.","2015"
"Digital","OverDrive","EBOOK","2019","12","2","Nine Parts of Desire: The Hidden World of Islamic Women","Geraldine Brooks","History, Nonfiction, Sociology, Women's Studies","Random House, Inc.","2016"
"Physical","Horizon","BOOK","2019","12","22","Harry Potter and the prisoner of Azkaban / by J.K. Rowling ; illustrations by Mary Grandpré.","Rowling, J. K.","Wizards Juvenile fiction, Magic Fiction, Schools Fiction, Potter Harry Juvenile fiction, England Juvenile fiction","Arthur A. Levine Books,","1999."
"Physical","Horizon","BOOK","2019","12","13","Snoopy : Contact! : a Peanuts collection / Charles M. Schulz.","Schulz, Charles M. (Charles Monroe), 1922-2000,","Snoopy Fictitious character Comic books strips etc, Brown Charlie Fictitious character Comic books strips etc, Woodstock Fictitious character Comic books strips etc, Van Pelt Lucy Fictitious character Comic books strips etc, Van Pelt Linus Fictitious character Comic books strips etc, Cartoons and comics, Comics Graphic works","Andrews McMeel Publishing,","[2015]"
"Digital","OverDrive","EBOOK","2019","12","2","Knitting Brioche: The Essential Guide to the Brioche Stitch","Nancy Marchant","Art, Crafts, Nonfiction","Penguin Group (USA), Inc.","2011"
"Physical","Horizon","SOUNDDISC","2019","12","1","How to succeed in business without really trying : the 2011 Broadway cast recording.","Loesser, Frank, 1910-1969","Musicals","Decca,","[2011]"
"Digital","OverDrive","EBOOK","2019","12","1","Lady of Sin: The Seducer Series, Book 7","Madeline Hunter","Fiction, Historical Fiction, Romance","Random House, Inc.","2012"
"Digital","OverDrive","EBOOK","2019","12","1","Down to Earth: Politics in the New Climatic Regime","Bruno Latour","Nonfiction, Philosophy","John Wiley & Sons, Inc.","2019"
"Physical","Horizon","BOOK","2019","12","1","Midnight salvage : poems, 1995-1998 / Adrienne Rich.","Rich, Adrienne, 1929-2012",,"W.W. Norton,","[1999]"
"Physical","Horizon","BOOK","2019","12","1","The fear & anxiety solution : a breakthrough process for healing and empowerment with your subconscious mind / Friedemann Schaub.","Schaub, Friedemann","Self actualization Psychology, Fear, Anxiety","Sounds True,","2012."
"Digital","OverDrive","EBOOK","2019","12","7","The Court Dancer: A Novel","Kyung-Sook Shin","Fiction, Historical Fiction, Literature","W. W. Norton & Company","2018"
"Digital","OverDrive","EBOOK","2019","12","3","Something Borrowed: Darcy & Rachel Series, Book 1","Emily Giffin","Fiction, Literature, Romance","Macmillan Publishers","2013"
"Physical","Horizon","BOOK","2019","12","1","Cómo esconder un león / Helen Stephens ; [traducción, Roser Ruiz].","Stephens, Helen, 1972-","Lion Juvenile fiction, Friendship Juvenile fiction, Secrecy Juvenile fiction, Hiding places Juvenile fiction, Kindness Juvenile fiction, Spanish language materials, Picture books","Beascoa,","2018."
"Physical","Horizon","BOOK","2019","12","8","The history of love / Nicole Krauss.","Krauss, Nicole","Authors Fiction, Immigrants Fiction, Lost literature Fiction, Books and reading Fiction, Loss Psychology Fiction, Poland Fiction, Psychological fiction, Love stories","W.W. Norton & Company,","2006."
"Physical","Horizon","BOOK","2019","12","3","How artists see animals / Colleen Carroll.","Carroll, Colleen","Art appreciation Study and teaching Elementary Activity programs, Education Elementary Activity programs, Interdisciplinary approach in education","Abbeville Kids, a division of Abbeville Press,","2019."
"Physical","Horizon","BOOK","2019","12","1","Icon : the persona sequence / Genevieve Valentine.","Valentine, Genevieve","Ambassadors Fiction, Suspense fiction","Saga Press,","[2016]"
"Physical","Horizon","SOUNDDISC","2019","12","1","The autobiography of Gucci Mane / Gucci Mane with Neil Martinez-Belkin.","Gucci Mane, 1980-","Gucci Mane 1980, Rap musicians United States Biography, Audiobooks, Autobiographies","Simon & Schuster Audio,","[2017]"
"Physical","Horizon","BOOK","2019","12","1","14-hiki no hikkoshi / Iwamura Kazuo.","Iwamura, Kazuo, 1939-","Mice Juvenile fiction, Childrens stories Japanese, Picture books for children, Japanese language materials","Dōshinsha,","1983."
"Physical","Horizon","BOOK","2019","12","1","The exile's journey / Erin Hunter.","Hunter, Erin","Dogs Juvenile fiction, Survival Juvenile fiction, Prophecies Juvenile fiction, Dogs Fiction, Survival Fiction, Prophecies Fiction, Fantasy, Fantasy fiction","Harper, an imprint of HarperCollins Publishers,","[2018]"
"Physical","Horizon","BOOK","2019","12","1","Jews and the military : a history / Derek J. Penslar.","Penslar, Derek Jonathan","Jewish soldiers Europe History 19th century, Jewish soldiers Europe History 20th century, Jews Europe History 19th century, Jews Europe History 20th century, Jews Cultural assimilation Europe History 19th century, Jews Cultural assimilation Europe History 20th century, Jews Europe Identity","Princeton University Press,","[2013]"
"Physical","Horizon","BOOK","2019","12","2","Ten Zen questions / Susan Blackmore.","Blackmore, Susan J., 1951-","Meditation Zen Buddhism, Meditation Zen Buddhism Psychological aspects, Zen Buddhism","Oneworld,","2009."
"Physical","Horizon","BOOK","2019","12","4","Honk! Splat! Vroom! / Barry Gott.","Gott, Barry","Mice Juvenile fiction, Automobile racing Juvenile fiction, Sounds Words for Juvenile fiction, Picture books","Carolrhoda Books,","[2018]"
"Digital","OverDrive","EBOOK","2019","12","2","Sunshine Beach: Beach Series, Book 4","Wendy Wax","Fiction, Humor (Fiction), Literature, Romance","Penguin Group (USA), Inc.","2016"
"Physical","Horizon","BOOK","2019","12","1","Violence : six sideways reflections / Slavoj Žižek.","Žižek, Slavoj","Violence, Violence Philosophy, Political violence","Picador,","2008."
"Physical","Horizon","SOUNDDISC","2019","12","4","Loud / Rihanna.","Rihanna, 1988-","Popular music 2001 2010, Popular music","Def Jam,","[2010]"
"Digital","OverDrive","EBOOK","2019","12","8","""H"" is for Homicide: Kinsey Millhone Series, Book 8","Sue Grafton","Fiction, Mystery","Macmillan Publishers","2013"
"Physical","Horizon","BOOK","2019","12","7","The call of the wild ; and, White Fang / Jack London ; illustrated by Scott McKowen.","London, Jack, 1876-1916","Dogs Fiction, Wolves Juvenile fiction, Human animal relationships Juvenile fiction, Yukon Juvenile fiction, Canada History 1867 1914 Juvenile fiction","Sterling Pub.,","2004."
"Digital","OverDrive","EBOOK","2019","12","2","Fate of Flames","Sarah Raughley","Comic and Graphic Books, Fantasy, Young Adult Fiction, Young Adult Literature","Simon & Schuster, Inc.","2016"
"Physical","Horizon","BOOK","2019","12","2","The Dalai Lama / by Charles and Linda George.","George, Charles, 1949-","Bstan dzin rgya mtsho Dalai Lama XIV 1935 Juvenile literature, Tenzin Gyatso Dalai Lama XIV 1935, Dalai lamas Biography Juvenile literature, Dalai lamas Juvenile literature","Lucent Books,","[2010]"
"Physical","Horizon","BOOK","2019","12","1","The woman who died a lot : now with 50% added subplot / Jasper Fforde.","Fforde, Jasper","Next Thursday Fictitious character Fiction, Women detectives England Fiction, Literary historians England Fiction, Characters and characteristics in literature Fiction, Books and reading Fiction, Large type books, Mystery fiction, Fantasy fiction","Thorndike Press,","2013."
"Physical","Horizon","SOUNDDISC","2019","12","1","Sees the light / La Sera.","Sera (Musical group)","Rock music 2011 2020, Popular music 2011 2020","Hardly Art,","[2012]"
"Digital","OverDrive","EBOOK","2019","12","2","Archie's Favorite Comics from the Vault","Archie Superstars","Comic and Graphic Books, Juvenile Fiction","Random House, Inc.","2015"
"Physical","Horizon","BOOK","2019","12","4","Winter gardens : reinventing a season / Cédric Pollet ; [translation by Caroline Harbouri].","Pollet, Cédric","Winter gardening, Plants in winter, Nature photography, Plants Pictorial works, Gardens Pictorial works","Frances Lincoln,","2017."
"Physical","Horizon","BOOK","2019","12","1","Winter loon : a novel / Susan Bernhard.","Bernhard, Susan","Teenage boys Fiction, Mothers Death Fiction, Families Fiction, Resilience Personality trait Fiction, Secrecy Fiction, Bildungsromans","Little A,","2018."
"Physical","Horizon","VIDEODISC","2019","12","6","Alfred Hitchcock's Stage fright / Warner Bros. Pictures ; a Warner Bros. First National picture ; screen play by Whitfield Cook ; adaptation by Alma Reville ; directed by Alfred Hitchcock.",,"Actors Drama, Murder Drama, Feature films, Thrillers Motion pictures, Fiction films","Warner Bros. Home Entertainment,","[2018]"
"Digital","OverDrive","EBOOK","2019","12","1","Programming: A Beginner's Guide","Richard Mansfield","Nonfiction, Reference, Technology","McGraw-Hill Professional","2009"
"Physical","Horizon","SOUNDDISC","2019","12","1","The essential Rosanne Cash.","Cash, Rosanne","Country music","Columbia/Legacy,","[2011]"
"Digital","OverDrive","EBOOK","2019","12","1","In Siberia","Colin Thubron","Nonfiction, Travel","HarperCollins Publishers Inc.","2013"
"Digital","OverDrive","EBOOK","2019","12","4","The Dark Wind: Leaphorn & Chee Series, Book 5","Tony Hillerman","Fiction, Mystery","HarperCollins Publishers Inc.","2005"
"Physical","Horizon","SOUNDDISC","2019","12","1","The lions of Little Rock / Kristin Levine.","Levine, Kristin (Kristin Sims), 1974-","Friendship Fiction, Middle schools Juvenile fiction, Schools Fiction, African Americans Juvenile fiction, Family life Arkansas Fiction, School integration Juvenile fiction, Race relations Juvenile fiction, Bashfulness Juvenile fiction, Little Rock Ark History 20th century Juvenile fiction","Random House/Listening Library,","[2012]"
"Physical","Horizon","BOOK","2019","12","7","A frog's life / by Irene Kelly ; illustrated by Magharita Borin.","Kelly, Irene (Irene Kelly Nelson)","Frogs Juvenile literature","Holiday House,","[2018]"
"Physical","Horizon","BOOK","2019","12","1","Reefs and rain forests : the natural heritage of Malaysian Borneo / Murray S. Kaufman.","Kaufman, Murray S.","Coral reef animals Borneo Pictorial works, Coral reef ecology Borneo Pictorial works, Coral reef conservation Borneo, Rain forest animals Borneo Pictorial works, Rain forest ecology Borneo Pictorial works, Rain forest conservation Borneo","Reefs and Rain Forests Publications,","2002."
"Physical","Horizon","BOOK","2019","12","1","Superman: a giant attack / by Donald Lemke ; pictures by Lee Ferguson.","Lemke, Donald B.","Superman Fictitious character Juvenile fiction, Luthor Lex Fictitious character Juvenile fiction, Superheroes Juvenile fiction, Good and evil Juvenile fiction","Harper, an imprint of HarperCollins Publishers,","[2015]"
"Digital","OverDrive","EBOOK","2019","12","4","Zombies Ate My Homework: Redstone Junior High #1","Cara J. Stevens","Comic and Graphic Books, Fantasy, Juvenile Fiction, Juvenile Literature","Simon & Schuster, Inc.","2018"
"Physical","Horizon","SOUNDDISC","2019","12","4","B-sides and rarities / Beach House.","Beach House (Musical group)","Rock music 2001 2010, Rock music 2011 2020, Rock music","Sub Pop Records,","[2017]"
"Digital","OverDrive","EBOOK","2019","12","1","Country of the Bad Wolfes","James Carlos Blake","Fiction, Historical Fiction, Literature, Western","Lightning Source Inc","2012"
"Digital","OverDrive","EBOOK","2019","12","1","Murder Has Nine Lives","Laura Levine","Fiction, Mystery","Lightning Source Inc","2016"
"Physical","Horizon","VIDEODISC","2019","12","2","La fiesta de Fritzi = Fritzi's party / Whistlefritz LLC.",,"Parties Juvenile films, Spanish language Study and teaching Preschool Juvenile films, Spanish language Study and teaching Elementary Juvenile films, Spanish language Vocabulary Juvenile films, Spanish language Study and teaching Audio visual aids, Educational films, Childrens films, Instructional films","Whistlefritz LLC,","[2011]"
"Physical","Horizon","BOOK","2019","12","3","The creative entrepreneur : a DIY visual guidebook for making business ideas real / Lisa Sonora Beam.","Beam, Lisa Sonora","Creative ability in business, Entrepreneurship, Small business Management, Artisans","Quarry Books,","[2008]"
"Digital","OverDrive","EBOOK","2019","12","3","The Stone Heart: The Nameless City Series, Book 2","Faith Erin Hicks","Comic and Graphic Books, Fantasy, Juvenile Fiction, Juvenile Literature","Macmillan Publishers","2017"
"Digital","OverDrive","AUDIOBOOK","2019","12","1","The Black Tower: Inspector Adam Dalgliesh Series, Book 5 (unabridged) (Unabridged)","P. D. James","Fiction, Mystery","Books on Tape","2009"
"Digital","OverDrive","EBOOK","2019","12","11","Burn Bright: Alpha and Omega Series, Book 5","Patricia Briggs","Fantasy, Fiction, Romance","Penguin Group (USA), Inc.","2018"
"Physical","Horizon","BOOK","2019","12","1","Vertebrae : poems, 1978-1994 / Samuel Green.","Green, Samuel, 1948-","Islands Washington State Poetry, Nature Poetry","Eastern Washington University Press,","2008."
"Physical","Horizon","SOUNDDISC","2019","12","3","Burn your fire for no witness / Angel Olsen.","Olsen, Angel","Popular music 2011 2020, Rock music 2011 2020","Jagjaguwar,","[2014]"
"Physical","Horizon","BOOK","2019","12","2","Kyuuto! Japanese crafts. Fuzzy felted friends / by Saori Yamazaki.","Yamazaki, Saori","Felt work, Felt work Japan, Felting, Soft toy making","Chronicle Books,","2008."
"Physical","Horizon","BOOK","2019","12","1","How I write : the secret lives of authors / edited by Dan Crowe with Philip Oltermann.",,"Authorship Anecdotes, Creative writing, Authors","Rizzoli,","2007."
"Digital","OverDrive","EBOOK","2019","12","2","Chapterhouse: Dune: Dune Series, Book 6","Frank Herbert","Fiction, Science Fiction","Penguin Group (USA), Inc.","2013"
"Digital","OverDrive","EBOOK","2019","12","1","The Invention Hunters Discover How Electricity Works: Invention Hunters Series, Book 2","Korwin Briggs","Humor (Fiction), Juvenile Fiction, Science Fiction","Hachette Digital, Inc.","2019"
"Physical","Horizon","BOOK","2019","12","1","The rhino who swallowed a storm / by LeVar Burton & Susan Schaefer Bernardo ; illustrations by Courtenay Fletcher.","Burton, LeVar","Storms Juvenile fiction, Mice Juvenile fiction","Reading Rainbow,","2014."
"Digital","OverDrive","EBOOK","2019","12","2","Drama (Spanish Edition)","Raina Telgemeier","Comic and Graphic Books, Juvenile Fiction, Juvenile Literature","Scholastic, Inc. (US)","2019"
"Digital","OverDrive","AUDIOBOOK","2019","12","4","Naked Mole Rat Gets Dressed (Unabridged)","Mo Willems","Juvenile Fiction, Picture Book Fiction","Weston Woods Studios Inc., a subsidiary of Scholastic Inc.","2019"
"Physical","Horizon","BOOK","2019","12","1","Justice League/Aquaman. Drowned earth / Scott Snyder, Dan Abnett, James Tynion IV, writers ; Francis Manapul, Lan Medina, Clayton Henry [and 4 others], pencillers ; Francis Manapul, Vicente Cifuentes, Clayton Henry [and 4 others], inkers ; Francis Manapul, Gabe Eltaeb, Marcelo Maiolo [and 3 others], colorists ; Tom Napolitano, Steve Wands, Dave Sharpe, letterers ; Francis Manapul, collection cover artist.","Snyder, Scott","Aquaman Fictitious character Comic books strips etc, Superman Fictitious character Comic books strips etc, Wonder Woman Fictitious character Comic books strips etc, Batman Fictitious character Comic books strips etc, Justice League of America Fictitious characters Comic books strips etc, Superheroes Comic books strips etc, Imaginary wars and battles Comic books strips etc, Good and evil Comic books strips etc, Superhero comics, Graphic novels, Comics Graphic works","DC Comics,","[2019]"
"Digital","OverDrive","EBOOK","2019","12","1","The Hen Who Dreamed She Could Fly: A Novel","Sun-mi Hwang","Classic Literature, Fiction, Literature, Mythology","Penguin Group (USA), Inc.","2013"
"Physical","Horizon","BOOK","2019","12","10","Together at Christmas / Eileen Spinelli ; illustrated by Bin Lee.","Spinelli, Eileen","Stories in rhyme Juvenile fiction, Mice Juvenile fiction, Cold Juvenile fiction, Christmas Fiction, Counting Fiction","Albert Whitman & Co.,","2012."
"Physical","Horizon","BOOK","2019","12","5","Quietly in their sleep / Donna Leon.","Leon, Donna","Brunetti Guido Fictitious character Fiction, Police Italy Venice Fiction, Nuns Fiction, Venice Italy Fiction, Detective and mystery fiction","Grove Press,","[2015]."
"Physical","Horizon","VIDEODISC","2019","12","8","Mugen no jûnin = Blade of the immortal / Magnet Releasing ; HanWay Films ; Warner Bros. Pictures ; TV Asahi Corporation ; Kodansha ; J Storm ; GYAO ; OLM ; Recorded Picture Company ; CJ E&M ; Ken On Inc. ; in association with Rakueisha, Toei Studios ; produced by Jeremy Thomas, Misako Saka, Shigeji Maeda ; screenplay by Tetsuya Oishi ; directed by Takashi Miike.",,"Samurai Drama, Murder Drama, Revenge Drama, Japan Drama, Feature films, Samurai films, Action and adventure films, Fiction films, Motion pictures Japanese, Video recordings for the hearing impaired","Magnolia Home Entertainment,","[2018]"
"Physical","Horizon","VIDEODISC","2019","12","8","Irrational man / Sony Pictures Classics ; in association with Gravier Productions ; a Perdido production ; produced by Letty Aronson, Stephen Tenenbaum, Edward Walson ; written and directed by Woody Allen.",,"College teachers Drama, Man woman relationships Drama, Fiction films, Comedy films, Feature films, Video recordings for the hearing impaired, Video recordings for people with visual disabilities","Sony Pictures Home Entertainment,","[2016]"
"Digital","OverDrive","EBOOK","2019","12","3","The World According to Bertie: 44 Scotland Street Series, Book 4","Alexander McCall Smith","Fiction, Humor (Fiction), Mystery","Random House, Inc.","2009"
"Digital","OverDrive","EBOOK","2019","12","1","Brimstone: Virgil Cole and Everett Hitch Series, Book 3","Robert B. Parker","Fiction, Western","Penguin Group (USA), Inc.","2009"
"Physical","Horizon","SOUNDDISC","2019","12","3","Electronic opus / BT.","B. T. (Brian Transeau), 1971-","Popular music 2011 2020, Electronic music, Electronic dance music","Black Hole Recordings,","[2016]"
"Physical","Horizon","BOOK","2019","12","1","Consuming stories : Kara Walker and the imagining of American race / Rebecca Peabody.","Peabody, Rebecca","Walker Kara Elizabeth Themes motives, Race in art, African Americans in art, Silhouettes United States History 19th century, Installations Art United States","University of California Press,","[2016]"
"Digital","OverDrive","EBOOK","2019","12","1","Donnie Brasco","Joseph D. Pistone","Nonfiction, True Crime","Penguin Group (USA), Inc.","2009"
"Digital","OverDrive","EBOOK","2019","12","7","Guide to Farming","Mojang Ab","Computer Technology, Juvenile Nonfiction, Reference","Random House, Inc.","2018"
"Physical","Horizon","BOOK","2019","12","2","What if everybody understood child development? : straight talk about bettering education and children's lives / Rae Pica.","Pica, Rae, 1953-","Early childhood education, Child development","Corwin, a SAGE Company,","[2015]"
"Physical","Horizon","VIDEODISC","2019","12","3","Perry Mason. Season 5, volume 2 / produced by the CBS Television Network in association with Paisano Productions.",,"Mason Perry Fictitious character Drama, Defense Criminal procedure Drama, Legal television programs, Fiction television programs, Television series, Video recordings for the hearing impaired","CBS Paramount Network Television,","2010."
"Digital","OverDrive","EBOOK","2019","12","1","1812: The Rivers of War: Trail of Glory Series, Book 1","Eric Flint","Fiction, Historical Fiction, Literature","Random House, Inc.","2011"
"Digital","OverDrive","EBOOK","2019","12","2","Castle","David Macaulay","Architecture, Juvenile Nonfiction","Houghton Mifflin Harcourt Trade and Reference","2011"
"Physical","Horizon","VIDEODISC","2019","12","3","Brother Bear / Walt Disney Pictures ; producer, Chuck Williams ; writers, Lorne Cameron, David Hoselton ; screenplay, Steve Bencich, Ron J. Friedman ; directors, Aaron Blaise, Bob Walker.",,"Bears Juvenile fiction, Brothers Juvenile fiction, Indian children North America Juvenile fiction, Nature stories, Feature films, Animated films, Childrens films, Video recordings for the hearing impaired","Walt Disney Home Entertainment : Burbank, Calif. : Distributed by Buena Vista Home Entertainment,","[2004]"
"Physical","Horizon","BOOK","2019","12","3","Code : the hidden language of computer hardware and software / Charles Petzold.","Petzold, Charles, 1953-","Computer programming, Coding theory","Microsoft Press,","[2000]"
"Physical","Horizon","BOOK","2019","12","1","Flight : 100 years of aviation / R.G. Grant.","Grant, R. G.","Aeronautics History","DK Pub. ; : in association with the Smithsonian Institution's National Air and Space Museum,","2002."
"Digital","OverDrive","AUDIOBOOK","2019","12","3","Walking the Americas: 1,800 Miles, Eight Countries, and One Incredible Journey from Mexico to Colombia (unabridged) (Unabridged)","Levison Wood","Nonfiction, Travel","Tantor Media, Inc","2018"
"Digital","OverDrive","AUDIOBOOK","2019","12","4","The Trial (Unabridged)","Franz Kafka","Classic Literature, Fiction","Naxos of America, Inc.","2011"
"Physical","Horizon","BOOK","2019","12","1","Fat nation : a history of obesity in America / Jonathan Engel.","Engel, Jonathan","Obesity United States, Food habits United States, Food industry and trade United States, Nutrition United States, Lifestyles Health aspects United States, Obesity United States History 20th century, Obesity United States History 21st century","Rowman & Littlefield,","[2018]"
"Physical","Horizon","BOOK","2019","12","1","Elektra. [Vol. 1], Bloodlines / writer, Haden Blackman ; artist, Mike Del Mundo ; color artists, Mike Del Mundo with Marco D'Alfonso ; letterer, VC's Clayton Cowles.","Blackman, W. Haden","Elektra Fictitious character Miller Comic books strips etc, Science fiction comic books strips etc","Marvel,","[2014]"
"Physical","Horizon","VIDEODISC","2019","12","4","Les petits meurtres, d'Agatha Christie. Set 1 = The little murders of Agatha Christie / Escazal Films Production with the participation of France 2 and TV5 Monde ; produced by Sophie Revil and Denis Carot ; written by Jean-Luc Gaget ... [and others] ; directed by Eric Woreth and Stephane Kappes.",,"Murder France Drama, Crime France Drama, Television series, Detective and mystery television programs, Fiction television programs","[Publisher not identified],","[2014]"
"Digital","OverDrive","EBOOK","2019","12","31","Sweep of the Blade: Innkeeper Chronicles, Book 4","Ilona Andrews","Fantasy, Fiction, Romance","INscribe Digital","2019"
"Digital","OverDrive","EBOOK","2019","12","1","The Captain's Daughter","Alexander Pushkin","Fiction, Historical Fiction, Literature","Random House, Inc.","2014"
"Physical","Horizon","BOOK","2019","12","1","A woman of consequence : the investigations of Miss Dido Kent / Anna Dean.","Dean, Anna","Maiden aunts Fiction, Abbeys England Fiction, Haunted places Fiction, Murder Investigation Fiction, Accidents Fiction, Dead Fiction, Large type books, England Social life and customs 19th century Fiction, Mystery fiction, Historical fiction","Kennebec Large Print,","2012."
"Physical","Horizon","VIDEODISC","2019","12","13","The clapper / Momentum Pictures ; Fortitude International ; Oriah Entertainment ; a Cedarvale Pictures/Schorr Pictures production ; a Pacific Electric Picture Co./Goodforyou Films production ; in association with Living the Dream Films, Inc./Skitbags Entertainment ; produced by Dito Montiel, Robin Schorr, Ed Helms, Mike Falbo, Alex Lebovici, Steve Ponce ; written for the screen and directed by Dito Montiel.",,"Infomercials Drama, Audiences Drama, Feature films, Comedy films, Fiction films, Video recordings for the hearing impaired","Momentum Pictures,","[2018]"
"Physical","Horizon","BOOK","2019","12","1","Complete stories / Kurt Vonnegut ; collected and introduced by Jerome Klinkowitz & Dan Wakefield ; foreword by Dave Eggers.","Vonnegut, Kurt","Short stories","Seven Stories Press,","[2017]"
"Digital","OverDrive","AUDIOBOOK","2019","12","8","The Mind-Gut Connection: How the Hidden Conversation within Our Bodies Impacts Our Mood, Our Choices, and Our Overall Health (unabridged) (Unabridged)","Emeran Mayer, MD","Health & Fitness, Medical, Nonfiction","Blackstone Audio, Inc.","2016"
"Digital","OverDrive","AUDIOBOOK","2019","12","1","The Death-Defying Pepper Roux (Unabridged)","Geraldine McCaughrean","Juvenile Fiction, Juvenile Literature","Books on Tape","2010"
"Physical","Horizon","BOOK","2019","12","2","The very crowded sukkah / by Leslie Kimmelman ; illustrated by Bob McMahon.","Kimmelman, Leslie","Sukkot Juvenile fiction, Sukkah Juvenile fiction","Two Lions,","[2013]"
"Physical","Horizon","BOOK","2019","12","18","Biscuit's snow day race / story by Alyssa Satin Capucilli ; pictures by Pat Schories.","Capucilli, Alyssa Satin, 1957-","Biscuit Fictitious character Juvenile fiction, Dogs Juvenile fiction, Snow Juvenile fiction, Sledding Juvenile fiction, Racing Juvenile fiction, Readers Publications","Harper, an imprint of HarperCollinsPublishers,","[2019]"
"Physical","Horizon","BOOK","2019","12","1","Overland to Oregon / by Edward Henry Lenox.","Lenox, Edward Henry, 1827-","Overland journeys to the Pacific, Oregon National Historic Trail, Oregon Territory History","Ye Galleon Press,","1970."
"Physical","Horizon","BOOK","2019","12","6","A perfect spy / John le Carré.","Le Carré, John, 1931-","Intelligence officers Great Britain Fiction, Missing persons Fiction, Traitors England Fiction, Defectors Great Britain Fiction, Fathers and sons Great Britain Fiction, Spy stories, Suspense fiction","Penguin Books,","2011."
"Digital","OverDrive","EBOOK","2019","12","1","Gardening Lab for Kids: 52 Fun Experiments to Learn, Grow, Harvest, Make, Play, and Enjoy Your Garden","Renata Fossen Brown","Gardening, Juvenile Nonfiction","Quarto Publishing Group USA","2015"
"Physical","Horizon","VIDEODISC","2019","12","1","It had to be you / Samuel Goldwyn Films ; 1492 Pictures ; The Arlook Group ; Shoreline Entertainment ; a Vanderwater Media production ; written and directed by Sasha Gordon ; story by Sasha Gordon and Levi Abrino ; produced by Richard Arlook, Rachel Brenna, Benjamin Kruger, Levi Abrino, Sasha Gordon, Victor Magro.",,"Marriage proposals Drama, Man woman relationships Drama, Feature films, Romantic comedy films, Fiction films, Video recordings for the hearing impaired","Paramount Pictures,","[2016]"
