"usageclass","checkouttype","materialtype","checkoutyear","checkoutmonth","checkouts","title","creator","subjects","publisher","publicationyear"
"Digital","OverDrive","AUDIOBOOK","2020","5","1","Fly Already: Stories (unabridged) (Unabridged)","Etgar Keret","Fiction, Humor (Fiction), Literature, Short Stories","Books on Tape","2019"
"Digital","OverDrive","AUDIOBOOK","2020","5","7","Learn in Your Car Spanish Complete (Unabridged)","Henry N. Raymond","Foreign Language Study, Foreign Language Study - Spanish, Nonfiction","Penton Overseas, Inc.","2006"
"Digital","OverDrive","AUDIOBOOK","2020","5","2","Confessions of Saint Augustine (Unabridged)","Saint Aurelius Augustinus","Nonfiction, Religion & Spirituality","Blackstone Audio, Inc.","2008"
"Digital","OverDrive","AUDIOBOOK","2020","5","2","Partner in Crime: Joanna Brady Series, Book 10 (unabridged) (Unabridged)","J. A. Jance","Fiction, Mystery","Blackstone Audio, Inc.","2008"
"Digital","OverDrive","AUDIOBOOK","2020","5","2","The Fugitive: Remembrance of Things Past, Volume VI (unabridged) (Unabridged)","Marcel Proust","Classic Literature, Fiction","Naxos of America, Inc.","2014"
"Digital","OverDrive","AUDIOBOOK","2020","5","2","Delete All Suspects: Turing Hopper Series, Book 4 (unabridged) (Unabridged)","Donna Andrews","Fiction, Mystery","Dreamscape Media, LLC","2020"
"Digital","OverDrive","EBOOK","2020","5","9","The More of Less: Finding the Life You Want Under Everything You Own","Joshua Becker","Christian Nonfiction, Nonfiction, Religion & Spirituality, Self-Improvement","Random House, Inc.","2016"
"Digital","OverDrive","EBOOK","2020","5","1","Princess Cadance and the Spring Hearts Garden","G. M. Berrow","Humor (Fiction), Juvenile Fiction","Hachette Digital, Inc.","2018"
"Digital","OverDrive","AUDIOBOOK","2020","5","18","The Secret Place: Rob Ryan and Cassie Maddox Series, Book 5 (unabridged) (Unabridged)","Tana French","Fiction, Suspense","Books on Tape","2014"
"Digital","OverDrive","AUDIOBOOK","2020","5","8","Three Act Tragedy: Hercule Poirot Series, Book 11 (unabridged) (Unabridged)","Agatha Christie","Fiction, Mystery, Thriller","Random House Group Limited","2013"
"Digital","OverDrive","EBOOK","2020","5","3","Day of the Dragon King","Mary Pope Osborne","Historical Fiction, Juvenile Fiction","Random House, Inc.","2010"
"Digital","OverDrive","AUDIOBOOK","2020","5","1","The Murder of the Century: The Gilded Age Crime That Scandalized a City & Sparked the Tabloid Wars (unabridged) (Unabridged)","Paul Collins","Nonfiction, True Crime","Blackstone Audio, Inc.","2011"
"Digital","OverDrive","EBOOK","2020","5","2","The Fourth Monkey","J. D. Barker","Fiction, Suspense, Thriller","Houghton Mifflin Harcourt Trade and Reference","2017"
"Digital","OverDrive","EBOOK","2020","5","51","The Secret Lives of Color","Kassia St Clair","Art, History, Nonfiction","Penguin Group (USA), Inc.","2017"
"Digital","OverDrive","EBOOK","2020","5","1","Living the Farm Sanctuary Life: The Ultimate Guide to Eating Mindfully, Living Longer, and Feeling Better Every Day","Gene Baur","Cooking & Food, Home Design & Décor, Nature, Nonfiction","Random House, Inc.","2015"
"Digital","OverDrive","EBOOK","2020","5","5","The Now Habit: A Strategic Program for Overcoming Procrastination and Enjoying Guilt-Free Play","Neil Fiore","Nonfiction, Self-Improvement","Penguin Group (USA), Inc.","2013"
"Digital","OverDrive","AUDIOBOOK","2020","5","12","The Dichotomy of Leadership: Balancing the Challenges of Extreme Ownership to Lead and Win (unabridged) (Unabridged)","Jocko Willink","Business, Nonfiction","Macmillan Audio","2018"
"Digital","OverDrive","EBOOK","2020","5","2","Everyday Raw","Matthew Kenney","Cooking & Food, Nonfiction","Gibbs Smith","2011"
"Digital","OverDrive","EBOOK","2020","5","3","Vegan Brunch: Homestyle Recipes Worth Waking Up For—From Asparagus Omelets to Pumpkin Pancakes","Isa Chandra Moskowitz","Cooking & Food, Nonfiction","Hachette Digital, Inc.","2010"
"Digital","OverDrive","EBOOK","2020","5","1","The Thing with Feathers: The Surprising Lives of Birds and What They Reveal About Being Human","Noah Strycker","History, Nature, Nonfiction, Science","Penguin Group (USA), Inc.","2014"
"Digital","OverDrive","EBOOK","2020","5","2","Sabotage Season: The Kicks Series, Book 2","Alex Morgan","Juvenile Fiction, Juvenile Literature","Simon & Schuster, Inc.","2018"
"Digital","OverDrive","EBOOK","2020","5","1","Indelible","Adelia Saunders","Fantasy, Fiction, Literature","Bloomsbury USA","2017"
"Digital","OverDrive","EBOOK","2020","5","2","In My Hands: Memories of a Holocaust Rescuer","Irene Gut Opdyke","Biography & Autobiography, History, Young Adult Nonfiction","Random House, Inc.","2012"
"Digital","OverDrive","EBOOK","2020","5","3","Imperial Twilight: The Opium War and the End of China's Last Golden Age","Stephen R. Platt","History, Military, Nonfiction","Random House, Inc.","2018"
"Digital","OverDrive","AUDIOBOOK","2020","5","2","Shockaholic (Unabridged)","Carrie Fisher","Biography & Autobiography, Nonfiction, Performing Arts","Recorded Books, LLC","2016"
"Digital","OverDrive","EBOOK","2020","5","1","Tarnished Knight: London Steampunk, #1.5","Bec McMaster","Fantasy, Fiction, Romance, Science Fiction","Draft2Digital, LLC","2017"
"Digital","OverDrive","AUDIOBOOK","2020","5","1","The Wyrm King: Beyond the Spiderwick Chronicles, Book 3 (unabridged) (Unabridged)","Holly Black","Fantasy, Juvenile Fiction, Mythology","Simon & Schuster - Audiobooks","2009"
"Digital","OverDrive","EBOOK","2020","5","1","The Amish Nanny: The Women of Lancaster County Series, Book 2","Mindy Starns Clark","Christian Fiction, Fiction, Literature, Romance","Harvest House Publishers","2012"
"Digital","OverDrive","EBOOK","2020","5","7","Best Gay Erotica 2011","Richard Labonte","Erotic Literature, Fiction, Literature, Short Stories","National Book Network (NBN)","2013"
"Digital","OverDrive","AUDIOBOOK","2020","5","2","The End of the World Running Club (Unabridged)","Adrian J. Walker","Fiction, Science Fiction, Thriller","Blackstone Audio, Inc.","2017"
"Digital","OverDrive","EBOOK","2020","5","3","Night Watch: Kendra Michaels Series, Book 4","Iris Johansen","Fiction, Mystery, Thriller","Macmillan Publishers","2016"
"Digital","OverDrive","AUDIOBOOK","2020","5","2","Professor Chandra Follows His Bliss: A Novel (unabridged) (Unabridged)","Rajeev Balasubramanyam","Fiction, Literature","Books on Tape","2019"
"Digital","OverDrive","EBOOK","2020","5","1","Marni: My True Story of Stress, Hair-Pulling, and Other Obsessions","Marni Bates","Biography & Autobiography, Young Adult Nonfiction","Simon & Schuster, Inc.","2014"
"Digital","OverDrive","EBOOK","2020","5","1","An Enlarged Heart: A Personal History","Cynthia Zarin","Biography & Autobiography, Family & Relationships, Literary Criticism, Nonfiction","Random House, Inc.","2013"
"Digital","OverDrive","AUDIOBOOK","2020","5","3","Hey Harry, Hey Matilda: A Novel (unabridged) (Unabridged)","Rachel Hulin","Fiction, Humor (Fiction), Literature, Romance","Books on Tape","2017"
"Digital","OverDrive","EBOOK","2020","5","1","Men and Cartoons","Jonathan Lethem","Fiction, Short Stories","Random House, Inc.","2009"
"Digital","OverDrive","EBOOK","2020","5","1","A Mink, a Fink, a Skating Rink: What is a Noun?","Brian P. Cleary","Juvenile Nonfiction, Language Arts","Lerner Publishing Group","2012"
"Digital","OverDrive","EBOOK","2020","5","4","They Say Blue","Jillian Tamaki","Juvenile Fiction, Juvenile Literature","ABRAMS","2018"
"Digital","OverDrive","EBOOK","2020","5","2","JoJo and the Big Mess","Jane O'Connor","Beginning Reader, Humor (Fiction), Juvenile Fiction","HarperCollins Publishers Inc.","2020"
"Digital","OverDrive","EBOOK","2020","5","2","The Murder of Harriet Krohn: Inspector Sejer Series, Book 7","Karin Fossum","Fiction, Mystery","Houghton Mifflin Harcourt Trade and Reference","2014"
"Digital","OverDrive","EBOOK","2020","5","2","The Devious Book for Cats: A Parody","Joe Garden","Humor (Nonfiction), Nonfiction, Pets","Random House, Inc.","2008"
"Digital","OverDrive","EBOOK","2020","5","1","Kids Knit!","Sarah Bradberry","Crafts, Juvenile Nonfiction","Sterling Publishing Co., Inc.","2011"
"Digital","OverDrive","EBOOK","2020","5","2","srsly Hamlet","William Shakespeare","Classic Literature, Humor (Fiction), Romance, Young Adult Fiction","Random House, Inc.","2015"
"Digital","OverDrive","EBOOK","2020","5","3","Black Box Thinking: Why Most People Never Learn from Their Mistakes—But Some Do","Matthew Syed","Business, Economics, Nonfiction","Penguin Group (USA), Inc.","2016"
"Digital","OverDrive","AUDIOBOOK","2020","5","2","The Bell Ringers: A Novel (unabridged) (Unabridged)","Henry Porter","Fiction, Literature, Thriller","Tantor Media, Inc","2012"
"Digital","OverDrive","AUDIOBOOK","2020","5","7","The Wide Window: A Series of Unfortunate Events, Book 3 (unabridged) (Unabridged)","Lemony Snicket","Fantasy, Juvenile Fiction","HarperCollins Publishers Inc.","2005"
"Digital","OverDrive","AUDIOBOOK","2020","5","5","I'm Thinking of Ending Things (Unabridged)","Iain Reid","Fiction, Literature, Suspense, Thriller","Simon & Schuster - Audiobooks","2016"
"Digital","OverDrive","AUDIOBOOK","2020","5","9","Death of a Kingfisher: Hamish Macbeth Mystery Series, Book 27 (unabridged) (Unabridged)","M. C. Beaton","Fiction, Mystery","Blackstone Audio, Inc.","2012"
"Digital","OverDrive","EBOOK","2020","5","1","Frankie Pickle and the Pine Run 3000: Frankie Pickle Series, Book 2","Eric Wight","Comic and Graphic Books, Juvenile Fiction","Simon & Schuster, Inc.","2014"
"Digital","OverDrive","EBOOK","2020","5","3","The Withers Awaken: Wither War Book Two: A Far Lands Adventure: An Unofficial Minecrafterâ€™s Adventure","Mark Cheverton","Fantasy, Juvenile Fiction, Juvenile Literature","Simon & Schuster, Inc.","2018"
"Digital","OverDrive","AUDIOBOOK","2020","5","3","#AskGaryVee: One Entrepreneur's Take on Leadership, Social Media, and Self-Awareness (unabridged) (Unabridged)","Gary Vaynerchuk","Business, Marketing & Sales, Nonfiction","HarperCollins Publishers Inc.","2016"
"Digital","OverDrive","AUDIOBOOK","2020","5","3","The Initiation: The Secret Circle Series, Book 1 (unabridged) (Unabridged)","L. J. Smith","Fantasy, Romance, Young Adult Fiction","HarperCollins Publishers Inc.","2011"
"Digital","OverDrive","EBOOK","2020","5","1","Sympathy","Olivia Sudjic","Fiction, Literature","Houghton Mifflin Harcourt Trade and Reference","2017"
"Digital","OverDrive","EBOOK","2020","5","4","Danielle Walker's Against All Grain Celebrations: A Year of Gluten-Free, Dairy-Free, and Paleo Recipes for Every Occasion","Danielle Walker","Cooking & Food, Health & Fitness, Nonfiction","Random House, Inc.","2016"
"Digital","OverDrive","EBOOK","2020","5","1","Fresh Wind, Fresh Fire: What Happens When God's Spirit Invades the Hearts of His People","Jim Cymbala","Christian Nonfiction, Nonfiction, Religion & Spirituality","Zondervan","2008"
"Digital","OverDrive","EBOOK","2020","5","2","One Enchanted Evening","Lynn Kurland","Fiction, Historical Fiction, Romance","Penguin Group (USA), Inc.","2013"
"Digital","OverDrive","AUDIOBOOK","2020","5","3","Fern the Green Fairy: Rainbow Magic Series, Book 4 (unabridged) (Unabridged)","Daisy Meadows","Juvenile Fiction, Mythology","Scholastic Inc. Audiobooks","2012"
"Digital","OverDrive","EBOOK","2020","5","2","Tanequil: High Druid of Shannara Trilogy, Book 2","Terry Brooks","Fantasy, Fiction, Science Fiction, Thriller","Random House, Inc.","2008"
"Digital","OverDrive","AUDIOBOOK","2020","5","4","The Lottery, and Other Stories (Unabridged)","Shirley Jackson","Classic Literature, Fiction, Short Stories","Blackstone Audio, Inc.","2016"
"Digital","OverDrive","EBOOK","2020","5","1","Reaching for the Stars: The Inspiring Story of a Migrant Farmworker Turned Astronaut","José M. Hernández","Biography & Autobiography, Multi-Cultural, Nonfiction","Hachette Digital, Inc.","2013"
"Digital","OverDrive","EBOOK","2020","5","7","The Time Traveler's Wife","Audrey Niffenegger","Fiction, Literature","Zola Books","2018"
"Digital","OverDrive","VIDEO","2020","5","1","Great Wonders of the World","International Travel Films","Travel","TravelVideoStore.com","2009"
"Digital","OverDrive","EBOOK","2020","5","4","Borrowed Time","Tracy Clark","Fiction, Mystery, Suspense, Thriller","Lightning Source Inc","2019"
"Digital","OverDrive","EBOOK","2020","5","1","The Fabled Fifth Graders of Aesop Elementary School: Aesop Elementary School Series, Book 2","Candace Fleming","Humor (Fiction), Juvenile Fiction, Short Stories","Random House, Inc.","2010"
"Digital","OverDrive","EBOOK","2020","5","3","The Dog Who Cried Woof","John Grogan","Beginning Reader, Juvenile Fiction, Juvenile Literature","HarperCollins Publishers Inc.","2016"
"Digital","OverDrive","AUDIOBOOK","2020","5","76","Those Who Leave and Those Who Stay: Neapolitan Series, Book 3 (unabridged) (Unabridged)","Elena Ferrante","Fiction, Literature","Blackstone Audio, Inc.","2015"
"Digital","OverDrive","EBOOK","2020","5","1","My Favorite Countess","Vanessa Kelly","Fiction, Historical Fiction, Romance","Lightning Source Inc","2015"
"Digital","OverDrive","AUDIOBOOK","2020","5","3","Monday with a Mad Genius: Magic Tree House Merlin Missions Series, Book 10 (unabridged) (Unabridged)","Mary Pope Osborne","Historical Fiction, Juvenile Fiction","Books on Tape","2017"
"Digital","OverDrive","EBOOK","2020","5","9","The Miracle Equation: The Two Decisions That Move Your Biggest Goals from Possible, to Probable, to Inevitable","Hal Elrod","New Age, Nonfiction, Self-Improvement","Random House, Inc.","2019"
"Digital","OverDrive","AUDIOBOOK","2020","5","3","Overruled: Legal Briefs Series, Book 1 (unabridged) (Unabridged)","Emma Chase","Fiction, Humor (Fiction), Romance","Simon & Schuster - Audiobooks","2015"
"Digital","OverDrive","EBOOK","2020","5","3","Bastion: Valdemar: The Collegium Chronicles, Book 5","Mercedes Lackey","Fantasy, Fiction, Historical Fiction","Penguin Group (USA), Inc.","2013"
"Digital","OverDrive","AUDIOBOOK","2020","5","1","Troublemaker (Unabridged)","Andrew Clements","Juvenile Fiction, Juvenile Literature","Simon & Schuster - Audiobooks","2014"
"Digital","OverDrive","EBOOK","2020","5","8","The Haunted Lady: The Hilda Adams Mysteries, Book 2","Mary Roberts Rinehart","Fiction, Mystery","Open Road Integrated Media","2020"
"Digital","OverDrive","EBOOK","2020","5","1","Natural Health after Birth: The Complete Guide to Postpartum Wellness","Aviva Jill Romm","Family & Relationships, Health & Fitness, Nonfiction","Simon & Schuster, Inc.","2012"
"Digital","OverDrive","EBOOK","2020","5","2","Black & Decker the Complete Guide to Built-Ins: Complete Plans for Custom Cabinets, Shelving, Seating & More","Editors of CPi","Home Design & Décor, Nonfiction","Quarto Publishing Group USA","2012"
"Digital","OverDrive","EBOOK","2020","5","2","Dawn's Light: Restoration Series, Book 4","Terri Blackstock","Christian Fiction, Fiction","Zondervan","2013"
"Digital","OverDrive","EBOOK","2020","5","4","The Case of the Missing Moonstone: Wollstonecraft Detective Agency Series, Book 1","Jordan Stratford","Historical Fiction, Humor (Fiction), Juvenile Fiction, Mystery","Random House, Inc.","2015"
"Digital","OverDrive","AUDIOBOOK","2020","5","2","Apples Galore!: I Can Read Level 1 (unabridged) (Unabridged)","Jane O'Connor","Beginning Reader, Humor (Fiction), Juvenile Fiction","HarperCollins Publishers Inc.","2013"
"Digital","OverDrive","EBOOK","2020","5","1","Bond of Darkness: Texas Vampire Trilogy, Book 3","Diane Whiteside","Fiction, Romance","Penguin Group (USA), Inc.","2008"
"Digital","OverDrive","EBOOK","2020","5","1","The Taming of the Queen","Philippa Gregory","Fiction, Historical Fiction, Suspense","Simon & Schuster, Inc.","2015"
"Digital","OverDrive","AUDIOBOOK","2020","5","1","A Slave No More: Two Men Who Escaped to Freedom, Including Their Own Narratives of Emancipation (unabridged) (Unabridged)","David W. Blight","History, Nonfiction","Books on Tape","2007"
"Digital","OverDrive","EBOOK","2020","5","1","Haffling","Caleb James","Fantasy, Fiction, Literature","Dreamspinner Press","2019"
"Digital","OverDrive","EBOOK","2020","5","2","Cereal Box Mystery: The Boxcar Children Series, Book 65","Gertrude  Chandler Warner","Juvenile Fiction, Mystery","Open Road Integrated Media","2011"
"Digital","OverDrive","EBOOK","2020","5","3","The Mermaids Singing: Tony Hill & Carol Jordan Series, Book 1","Val McDermid","Fiction, Mystery","Macmillan Publishers","2013"
"Digital","OverDrive","AUDIOBOOK","2020","5","1","From the Mist: Never Girls Series, Book 4 (unabridged) (Unabridged)","Kiki Thorpe","Fantasy, Juvenile Fiction","Blackstone Audio, Inc.","2016"
"Digital","OverDrive","EBOOK","2020","5","2","Clever Little Witch","Muon Thi Van","Juvenile Fiction, Picture Book Fiction","Simon & Schuster, Inc.","2019"
"Digital","OverDrive","AUDIOBOOK","2020","5","4","The Ruin of a Rake (Unabridged)","Cat Sebastian","Fiction, Historical Fiction, Literature, Romance","Tantor Media, Inc","2019"
"Digital","OverDrive","EBOOK","2020","5","2","The Lost Frost Girl","Amy Wilson","Fantasy, Folklore, Juvenile Fiction, Juvenile Literature","HarperCollins Publishers Inc.","2017"
"Digital","OverDrive","AUDIOBOOK","2020","5","1","The Talented Ribkins: A Novel (unabridged) (Unabridged)","Ladee Hubbard","African American Fiction, Fantasy, Fiction, Literature","Blackstone Audio, Inc.","2017"
"Digital","OverDrive","EBOOK","2020","5","2","The Mill Mystery","Anna Katharine Green","Classic Literature, Fiction, Mystery","Duke Classics","2020"
"Digital","OverDrive","AUDIOBOOK","2020","5","4","Arcadia: A novel (unabridged) (Unabridged)","Iain Pears","Fantasy, Fiction, Literature, Science Fiction","Books on Tape","2016"
